date,report_score
2017-01-06,1.0
2017-01-13,0.0
2017-01-16,1.0
2017-02-10,1.0
2017-03-02,0.0
2017-03-07,1.0
2017-03-17,0.0
2017-03-20,0.6
2017-03-21,1.0
2017-03-22,0.5333333333333333
2017-03-27,1.0
2017-03-28,0.0
2017-03-30,0.5
2017-04-13,0.0
2017-04-14,1.0
2017-04-17,0.0
2017-04-21,1.0
2017-04-24,0.0
2017-04-25,0.6
2017-04-26,0.0
2017-05-02,0.6666666666666666
2017-05-18,1.0
2017-06-08,0.0
2017-06-12,1.0
2017-06-13,1.0
2017-06-23,0.5
2017-06-27,0.0
2017-07-03,0.8
2017-07-24,1.0
2017-08-04,1.0
2017-08-11,0.25
2017-08-12,0.6
2017-08-14,0.8666666666666667
2017-08-16,1.0
2017-08-25,0.3333333333333333
2017-08-28,0.3333333333333333
2017-08-31,0.5333333333333333
2017-09-01,1.0
2017-09-06,0.0
2017-10-20,0.6
2017-10-22,0.6
2017-10-23,0.0
2017-10-24,1.0
2017-10-25,1.0
2017-10-26,1.0
2017-10-27,0.0
2017-10-28,1.0
2017-10-30,0.8
2017-10-31,1.0
2017-11-06,1.0
2017-11-10,0.6
2017-11-14,1.0
2017-11-20,0.0
2017-11-22,1.0
2017-12-05,1.0
2017-12-13,1.0
2017-12-28,0.6
2018-01-04,0.6
2018-01-05,1.0
2018-01-14,0.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,0.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-27,0.6
2018-03-02,1.0
2018-03-14,1.0
2018-03-15,0.6
2018-03-16,0.8
2018-03-19,0.0
2018-03-20,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-04-02,0.0
2018-04-10,0.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,0.8666666666666667
2018-04-17,0.0
2018-04-19,0.8
2018-04-20,0.55
2018-04-26,0.3333333333333333
2018-05-02,0.6
2018-05-03,1.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-27,0.0
2018-05-29,0.0
2018-05-31,0.0
2018-06-01,1.0
2018-06-05,1.0
2018-06-13,1.0
2018-06-18,1.0
2018-07-03,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-13,1.0
2018-07-18,1.0
2018-07-19,1.0
2018-08-05,0.6
2018-08-06,1.0
2018-08-10,0.72
2018-08-13,0.6
2018-08-15,0.5
2018-08-16,0.85
2018-08-21,0.5333333333333333
2018-08-22,1.0
2018-08-23,1.0
2018-08-24,0.7999999999999999
2018-08-26,1.0
2018-08-27,1.0
2018-08-28,0.3
2018-09-03,0.6
2018-09-06,1.0
2018-09-07,1.0
2018-10-11,1.0
2018-10-12,1.0
2018-10-15,0.8666666666666667
2018-10-18,0.6
2018-10-19,1.0
2018-10-21,1.0
2018-10-23,0.6
2018-10-24,0.8
2018-10-26,0.9199999999999999
2018-10-29,0.7666666666666666
2018-10-30,0.8
2018-10-31,0.7333333333333334
2018-11-04,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,0.6
2018-11-22,0.8
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,0.6
2018-12-17,1.0
2018-12-18,0.6
2018-12-19,0.0
2018-12-26,0.6
2018-12-28,1.0
2019-01-04,1.0
2019-01-06,1.0
2019-01-08,1.0
2019-01-09,0.6
2019-01-28,0.0
2019-01-30,0.8
2019-02-28,0.8
2019-03-01,0.0
2019-03-04,0.6
2019-03-05,1.0
2019-03-08,0.8
2019-03-12,0.5
2019-03-14,0.0
2019-03-26,1.0
2019-04-03,0.7
2019-04-04,0.0
2019-04-08,0.6
2019-04-09,0.6666666666666666
2019-04-10,0.6
2019-04-22,0.3
2019-04-25,1.0
2019-04-26,0.6
2019-04-29,0.3
2019-04-30,0.8
2019-05-05,1.0
2019-05-07,0.6
2019-05-08,1.0
2019-05-09,1.0
2019-06-05,1.0
2019-06-06,0.5
2019-06-10,1.0
2019-06-13,1.0
2019-06-17,0.6
2019-06-19,1.0
2019-07-01,1.0
2019-07-02,1.0
2019-07-03,1.0
2019-07-10,0.6
2019-07-15,1.0
2019-08-05,0.0
2019-08-06,1.0
2019-08-08,0.8857142857142858
2019-08-12,1.0
2019-08-20,1.0
2019-08-21,1.0
2019-08-22,1.0
2019-08-24,0.6
2019-08-26,0.8666666666666667
2019-08-27,0.6799999999999999
2019-08-28,1.0
2019-08-30,0.8666666666666667
2019-09-01,0.6
2019-09-02,0.8
2019-09-05,0.6
2019-10-08,0.0
2019-10-14,1.0
2019-10-15,1.0
2019-10-16,1.0
2019-10-22,0.9
2019-10-23,1.0
2019-10-25,0.9333333333333332
2019-10-27,0.8666666666666667
2019-10-28,0.8285714285714285
2019-10-30,0.8
2019-10-31,1.0
2019-11-05,0.6
2019-11-18,0.6
2019-12-09,1.0
2019-12-13,1.0
2019-12-18,0.0
2020-01-03,0.0
2020-01-08,0.0
2020-01-14,1.0
